feature_id,classification,n_prominent_lobes,peak_circ_sd,folds,lobes_visited,lobe1_deg,lobe1_lift,lobe1_support,lobe2_deg,lobe2_lift,lobe2_support,lobe3_deg,lobe3_lift,lobe3_support,lobe1_lobe2_separation
Asc x SA G-AZ,unimodal_stable,3,1.2,5,1,235,1.207,277,169.0,1.167,945.0,250.0,1.141,242.0,66.0
EA x SA G-AZ,unimodal_stable,3,2.2,5,1,238,1.202,298,173.0,1.147,1055.0,294.0,1.143,251.0,65.0
Asc x MO G-AZ,unimodal_stable,3,0.4,5,1,295,1.179,324,103.0,1.131,309.0,113.0,1.119,351.0,168.0
EA x PA G-AZ,unimodal_stable,3,0.4,5,1,271,1.176,387,40.0,1.131,347.0,24.0,1.124,497.0,129.0
Asc x JU G-AZ,unimodal_stable,3,-0.0,5,1,38,1.173,515,350.0,1.108,1024.0,69.0,1.084,390.0,48.0
EA x JU G-AZ,unimodal_stable,3,0.9,5,1,46,1.155,480,14.0,1.084,931.0,69.0,1.081,381.0,32.0
VX G-RA x MO G-LON,bimodal,2,10.3,5,2,62,1.14,566,42.0,1.085,537.0,,,,20.0
EA x VS G-LON,bimodal,2,26.3,5,2,85,1.135,422,19.0,1.082,295.0,,,,66.0
VX G-LON x MO G-RA,bimodal,2,10.8,5,2,61,1.099,589,41.0,1.096,567.0,,,,20.0
Asc x JN G-LON,bimodal,2,53.2,5,2,191,1.092,494,326.0,1.087,530.0,,,,135.0
Asc x PA G-AZ,multimodal,3,27.2,5,2,12,1.194,432,74.0,1.158,287.0,269.0,1.154,357.0,62.0
EA x MO G-AZ,multimodal,3,20.9,5,2,62,1.173,344,289.0,1.144,315.0,113.0,1.13,315.0,133.0
Asc x MA G-AZ,multimodal,3,15.8,5,2,251,1.169,240,290.0,1.119,214.0,337.0,1.095,264.0,39.0
Asc x CE G-LON,multimodal,3,15.8,5,2,53,1.158,419,17.0,1.127,381.0,112.0,1.114,368.0,36.0
Asc x MA G-RA,multimodal,3,58.4,5,3,60,1.157,261,33.0,1.14,210.0,206.0,1.114,935.0,27.0
MC x PA G-LON,multimodal,3,58.0,5,3,67,1.154,445,178.0,1.143,402.0,17.0,1.114,494.0,111.0
VX x MA G-RA,multimodal,3,26.9,5,2,169,1.154,288,28.0,1.113,880.0,234.0,1.101,378.0,141.0
Asc x MA G-LON,multimodal,3,49.6,5,3,61,1.152,264,38.0,1.117,197.0,288.0,1.112,545.0,23.0
EA x MA G-AZ,multimodal,3,65.6,5,3,332,1.151,240,80.0,1.133,356.0,245.0,1.118,357.0,108.0
Asc x PA G-RA,multimodal,3,30.9,5,2,18,1.149,430,311.0,1.148,470.0,92.0,1.117,394.0,67.0
EA x CE G-AZ,multimodal,3,58.4,5,2,260,1.147,252,275.0,1.12,210.0,216.0,1.088,474.0,15.0
Asc x VS G-AZ,multimodal,3,22.0,5,2,258,1.146,288,238.0,1.129,363.0,115.0,1.115,352.0,20.0
EA x MA G-LON,multimodal,3,53.6,5,2,51,1.144,249,300.0,1.132,461.0,89.0,1.11,344.0,111.0
VX x MA G-LON,multimodal,3,26.0,5,2,163,1.142,325,30.0,1.121,845.0,230.0,1.114,337.0,133.0
MC G-LON x MO G-RA,multimodal,3,102.4,5,3,9,1.134,470,226.0,1.101,431.0,153.0,1.097,478.0,143.0
Asc x PA G-LON,multimodal,3,88.9,5,3,93,1.133,396,332.0,1.093,454.0,282.0,1.089,539.0,121.0
Asc x JN G-RA,multimodal,3,79.6,5,2,258,1.133,615,52.0,1.101,382.0,189.0,1.093,519.0,154.0
Asc x VS G-LON,multimodal,3,11.2,5,3,77,1.131,351,99.0,1.109,459.0,93.0,1.104,418.0,22.0
Asc x NN G-AZ,multimodal,3,67.9,5,2,277,1.131,288,149.0,1.114,635.0,44.0,1.103,360.0,128.0
VX x MO G-LON,multimodal,3,10.7,5,2,41,1.13,548,61.0,1.121,558.0,81.0,1.082,578.0,20.0
EA G-LON x MO G-RA,multimodal,3,105.0,5,2,171,1.129,512,64.0,1.124,455.0,135.0,1.105,453.0,107.0
EA x NN G-AZ,multimodal,3,71.1,5,3,48,1.129,367,146.0,1.127,517.0,285.0,1.113,285.0,98.0
MC x MA G-LON,multimodal,3,34.4,5,2,32,1.123,463,95.0,1.11,204.0,173.0,1.11,383.0,63.0
EA x JN G-AZ,multimodal,3,14.8,5,3,79,1.122,352,114.0,1.109,422.0,98.0,1.081,415.0,35.0
EA x VS G-AZ,multimodal,3,15.0,5,2,281,1.121,229,312.0,1.111,299.0,211.0,1.103,708.0,31.0
EA x MO G-LON,multimodal,3,37.8,5,3,219,1.121,460,172.0,1.115,511.0,267.0,1.108,444.0,47.0
VX x CE G-LON,multimodal,3,45.8,5,2,194,1.118,442,97.0,1.11,583.0,252.0,1.103,491.0,97.0
EA x MO G-RA,multimodal,3,88.2,5,2,279,1.118,469,13.0,1.107,464.0,175.0,1.105,494.0,94.0
MC x VS G-LON,multimodal,3,41.2,5,2,173,1.11,412,106.0,1.082,297.0,141.0,1.082,321.0,67.0
VX x PA G-RA,multimodal,3,81.8,5,2,354,1.107,538,151.0,1.105,529.0,224.0,1.095,522.0,157.0
MC x CE G-LON,multimodal,3,29.7,5,3,113,1.104,340,41.0,1.104,473.0,98.0,1.099,373.0,72.0
VX x VS G-LON,multimodal,3,58.2,5,3,308,1.104,754,131.0,1.095,406.0,317.0,1.085,789.0,177.0
EA x CE G-RA,multimodal,3,62.6,5,2,121,1.104,418,340.0,1.101,427.0,115.0,1.097,419.0,141.0
MC x CE G-RA,multimodal,3,62.6,5,2,211,1.104,418,70.0,1.101,427.0,205.0,1.097,419.0,141.0
Asc x JN G-AZ,multimodal,3,26.6,5,2,126,1.102,605,26.0,1.096,567.0,109.0,1.086,465.0,100.0
EA x VS G-RA,multimodal,3,84.1,5,2,91,1.101,482,63.0,1.088,363.0,22.0,1.086,296.0,28.0
