fold,feature_id,resolution,peak_degree,peak_rate,peak_lift,support_at_peak,local_gradient,below_support_floor,hs16_prior,peak_shift_from_hs16
1,Asc x JN G-AZ,6.0,33,0.5095,1.0987,422,0.024274,False,30.0,3.0
1,Asc x MA G-AZ,6.0,251,0.545,1.1753,200,0.037777,False,255.0,4.0
1,Asc x MO G-AZ,6.0,295,0.5198,1.121,252,0.027607,False,77.0,142.0
1,Asc x PA G-AZ,5.0,12,0.5586,1.2045,333,0.02165,False,78.0,66.0
1,Asc x VS G-AZ,6.0,300,0.5374,1.1588,214,0.033816,False,260.0,40.0
1,EA x CE G-AZ,6.0,275,0.5476,1.1809,168,0.038528,False,117.0,158.0
1,EA x JN G-AZ,6.0,113,0.5291,1.1409,344,0.032292,False,93.0,20.0
1,EA x MA G-AZ,6.0,296,0.5376,1.1592,173,0.023256,False,283.0,13.0
1,EA x MO G-AZ,6.0,62,0.5338,1.1512,266,0.018598,False,290.0,132.0
1,EA x PA G-AZ,6.0,271,0.5492,1.1843,315,0.025306,False,92.0,179.0
1,EA x VS G-AZ,6.0,312,0.5472,1.1799,212,0.031473,False,307.0,5.0
1,Asc x CE G-LON,5.0,55,0.5546,1.1959,339,0.029106,False,54.0,1.0
1,Asc x JN G-LON,5.0,223,0.5176,1.1161,398,0.019245,False,124.0,99.0
1,Asc x MA G-LON,5.0,37,0.5507,1.1876,138,0.032739,False,93.0,56.0
1,Asc x PA G-LON,5.0,340,0.5177,1.1164,367,0.019873,False,285.0,55.0
1,Asc x VS G-LON,5.0,69,0.5312,1.1456,256,0.020017,False,96.0,27.0
1,EA x MA G-LON,5.0,51,0.5351,1.154,185,0.038095,False,341.0,70.0
1,EA x MO G-LON,5.0,218,0.5355,1.1548,366,0.036838,False,29.0,171.0
1,EA x VS G-LON,5.0,85,0.531,1.145,339,0.025193,False,45.0,40.0
1,MC x CE G-LON,5.0,41,0.5258,1.1338,388,0.015444,False,138.0,97.0
1,MC x MA G-LON,5.0,118,0.5276,1.1377,163,0.027607,False,109.0,9.0
1,MC x PA G-LON,5.0,67,0.5478,1.1812,356,0.017544,False,156.0,89.0
1,MC x VS G-LON,5.0,165,0.5397,1.1639,302,0.017764,False,160.0,5.0
1,VX x CE G-LON,6.0,194,0.5364,1.1567,371,0.017571,False,219.0,25.0
1,VX x MA G-LON,6.0,163,0.531,1.1451,258,0.021818,False,135.0,28.0
1,VX x MO G-LON,6.0,41,0.5306,1.1442,441,0.024212,False,176.0,135.0
1,VX x PA G-LON,6.0,143,0.5164,1.1136,366,0.013676,False,62.0,81.0
1,VX x VS G-LON,6.0,131,0.5206,1.1227,315,0.02135,False,325.0,166.0
1,EA G-LON x MO G-RA,5.0,221,0.5312,1.1456,352,0.024962,False,28.0,167.0
1,MC G-LON x MO G-RA,5.0,226,0.523,1.1278,348,0.015502,False,117.0,109.0
1,VX G-LON x MO G-RA,6.0,40,0.5253,1.1327,455,0.020707,False,80.0,40.0
1,VX G-RA x MO G-LON,6.0,36,0.5147,1.1099,443,0.019579,False,354.0,42.0
1,Asc x JN G-RA,5.0,30,0.5189,1.1189,318,0.026855,False,122.0,92.0
1,Asc x MA G-RA,5.0,60,0.5507,1.1876,207,0.036884,False,63.0,3.0
1,Asc x PA G-RA,5.0,18,0.5367,1.1574,354,0.021174,False,87.0,69.0
1,EA x CE G-RA,5.0,50,0.5232,1.1283,323,0.02322,False,329.0,81.0
1,EA x MO G-RA,5.0,173,0.5233,1.1286,407,0.018824,False,79.0,94.0
1,EA x VS G-RA,5.0,78,0.5244,1.1309,307,0.025596,False,323.0,115.0
1,MC x CE G-RA,5.0,140,0.5232,1.1283,323,0.02322,False,59.0,81.0
1,MC x VS G-RA,5.0,168,0.5244,1.1309,307,0.025596,False,53.0,115.0
1,VX x MA G-RA,6.0,162,0.5299,1.1426,268,0.022059,False,169.0,7.0
1,VX x PA G-RA,6.0,151,0.5248,1.1316,444,0.014654,False,219.0,68.0
1,Asc x JU G-AZ,6.0,38,0.5379,1.1599,409,0.023723,False,70.0,32.0
1,Asc x NN G-AZ,6.0,150,0.5336,1.1507,491,0.01099,False,295.0,145.0
1,EA x JU G-AZ,6.0,47,0.5426,1.1702,387,0.023749,False,80.0,33.0
1,EA x NN G-AZ,6.0,47,0.5405,1.1656,296,0.022293,False,82.0,35.0
1,Asc x SA G-AZ,6.0,235,0.554,1.1946,213,0.026468,False,252.0,17.0
1,EA x SA G-AZ,6.0,240,0.5727,1.235,220,0.024526,False,261.0,21.0
2,Asc x JN G-AZ,6.0,109,0.5276,1.1418,381,0.03011,False,30.0,79.0
2,Asc x MA G-AZ,6.0,253,0.5351,1.1582,185,0.058007,False,255.0,2.0
2,Asc x MO G-AZ,6.0,294,0.5387,1.1661,271,0.031392,False,77.0,143.0
2,Asc x PA G-AZ,5.0,11,0.5592,1.2103,338,0.023152,False,78.0,67.0
2,Asc x VS G-AZ,6.0,238,0.5302,1.1477,281,0.019055,False,260.0,22.0
2,EA x CE G-AZ,6.0,83,0.519,1.1234,289,0.018531,False,117.0,34.0
2,EA x JN G-AZ,6.0,79,0.5194,1.1243,283,0.027967,False,93.0,14.0
2,EA x MA G-AZ,6.0,332,0.54,1.1688,200,0.025404,False,283.0,49.0
2,EA x MO G-AZ,6.0,114,0.5272,1.1411,239,0.023513,False,290.0,176.0
2,EA x PA G-AZ,6.0,271,0.5559,1.2032,322,0.021351,False,92.0,179.0
2,EA x VS G-AZ,6.0,312,0.5214,1.1284,234,0.026317,False,307.0,5.0
2,Asc x CE G-LON,5.0,15,0.5415,1.1721,301,0.021661,False,54.0,39.0
2,Asc x JN G-LON,5.0,190,0.5162,1.1173,401,0.020685,False,124.0,66.0
2,Asc x MA G-LON,5.0,61,0.537,1.1624,216,0.025574,False,93.0,32.0
2,Asc x PA G-LON,5.0,301,0.5278,1.1425,413,0.029092,False,285.0,16.0
2,Asc x VS G-LON,5.0,99,0.5251,1.1365,379,0.020836,False,96.0,3.0
2,EA x MA G-LON,5.0,300,0.5479,1.186,365,0.021629,False,341.0,41.0
2,EA x MO G-LON,5.0,172,0.5309,1.149,405,0.018102,False,29.0,143.0
2,EA x VS G-LON,5.0,85,0.5249,1.1362,341,0.025794,False,45.0,40.0
2,MC x CE G-LON,5.0,98,0.5274,1.1415,292,0.023378,False,138.0,40.0
2,MC x MA G-LON,5.0,33,0.5362,1.1606,345,0.018109,False,109.0,76.0
2,MC x PA G-LON,5.0,18,0.5498,1.1899,402,0.012605,False,156.0,138.0
2,MC x VS G-LON,5.0,141,0.5169,1.1187,267,0.02963,False,160.0,19.0
2,VX x CE G-LON,6.0,138,0.5274,1.1414,457,0.015614,False,219.0,81.0
2,VX x MA G-LON,6.0,231,0.5543,1.1996,258,0.030962,False,135.0,96.0
2,VX x MO G-LON,6.0,41,0.5163,1.1174,430,0.026589,False,176.0,135.0
2,VX x PA G-LON,6.0,353,0.5183,1.1219,409,0.016949,False,62.0,69.0
2,VX x VS G-LON,6.0,307,0.5134,1.1113,596,0.020497,False,325.0,18.0
2,EA G-LON x MO G-RA,5.0,171,0.5387,1.1659,401,0.018952,False,28.0,143.0
2,MC G-LON x MO G-RA,5.0,265,0.5377,1.1638,398,0.018406,False,117.0,148.0
2,VX G-LON x MO G-RA,6.0,62,0.5066,1.0965,454,0.020341,False,80.0,18.0
2,VX G-RA x MO G-LON,6.0,62,0.5177,1.1206,423,0.016116,False,354.0,68.0
2,Asc x JN G-RA,5.0,258,0.5363,1.1607,496,0.019739,False,122.0,136.0
2,Asc x MA G-RA,5.0,60,0.5399,1.1686,213,0.025392,False,63.0,3.0
2,Asc x PA G-RA,5.0,311,0.5508,1.1921,394,0.025381,False,87.0,136.0
2,EA x CE G-RA,5.0,340,0.535,1.158,357,0.020799,False,329.0,11.0
2,EA x MO G-RA,5.0,175,0.5351,1.1581,385,0.015199,False,79.0,96.0
2,EA x VS G-RA,5.0,324,0.5142,1.1129,282,0.026729,False,323.0,1.0
2,MC x CE G-RA,5.0,70,0.535,1.158,357,0.020799,False,59.0,11.0
2,MC x VS G-RA,5.0,54,0.5142,1.1129,282,0.026729,False,53.0,1.0
2,VX x MA G-RA,6.0,234,0.5476,1.1853,294,0.032669,False,169.0,65.0
2,VX x PA G-RA,6.0,355,0.5301,1.1473,432,0.017377,False,219.0,136.0
2,Asc x JU G-AZ,6.0,38,0.5503,1.191,398,0.022473,False,70.0,32.0
2,Asc x NN G-AZ,6.0,277,0.5551,1.2014,236,0.044711,False,295.0,18.0
2,EA x JU G-AZ,6.0,46,0.5457,1.1811,383,0.023551,False,80.0,34.0
2,EA x NN G-AZ,6.0,286,0.5395,1.1676,228,0.028615,False,82.0,156.0
2,Asc x SA G-AZ,6.0,235,0.574,1.2423,223,0.032324,False,252.0,17.0
2,EA x SA G-AZ,6.0,238,0.5618,1.2159,251,0.018876,False,261.0,23.0
3,Asc x JN G-AZ,6.0,80,0.5222,1.1213,293,0.01988,False,30.0,50.0
3,Asc x MA G-AZ,6.0,251,0.5468,1.1742,203,0.034483,False,255.0,4.0
3,Asc x MO G-AZ,6.0,295,0.5551,1.1921,263,0.032109,False,77.0,142.0
3,Asc x PA G-AZ,5.0,12,0.5465,1.1737,333,0.020401,False,78.0,66.0
3,Asc x VS G-AZ,6.0,258,0.5482,1.1773,228,0.037283,False,260.0,2.0
3,EA x CE G-AZ,6.0,258,0.5399,1.1594,213,0.024947,False,117.0,141.0
3,EA x JN G-AZ,6.0,98,0.5274,1.1326,328,0.025872,False,93.0,5.0
3,EA x MA G-AZ,6.0,332,0.573,1.2305,178,0.034572,False,283.0,49.0
3,EA x MO G-AZ,6.0,61,0.5583,1.1989,283,0.024972,False,290.0,131.0
3,EA x PA G-AZ,6.0,270,0.5435,1.1671,322,0.019669,False,92.0,178.0
3,EA x VS G-AZ,6.0,277,0.5266,1.1308,188,0.023522,False,307.0,30.0
3,Asc x CE G-LON,5.0,55,0.535,1.1488,329,0.034955,False,54.0,1.0
3,Asc x JN G-LON,5.0,274,0.5111,1.0976,450,0.027429,False,124.0,150.0
3,Asc x MA G-LON,5.0,62,0.5522,1.1859,201,0.026812,False,93.0,31.0
3,Asc x PA G-LON,5.0,93,0.5289,1.1357,329,0.022388,False,285.0,168.0
3,Asc x VS G-LON,5.0,93,0.5409,1.1616,342,0.026333,False,96.0,3.0
3,EA x MA G-LON,5.0,337,0.542,1.1639,238,0.038267,False,341.0,4.0
3,EA x MO G-LON,5.0,219,0.5346,1.1479,376,0.029925,False,29.0,170.0
