feature_id,peak_deg_mean,peak_deg_circ_sd,peak_lift_mean,peak_lift_min,local_grad_mean,support_min,folds_below_floor,hs16_prior,shift_from_hs16_mean,peak_stable,prior_holds,support_ok
Asc x CE G-LON,46.9,15.8,1.169,1.1488,0.027065,301,0,54.0,8.6,False,True,True
Asc x MA G-AZ,259.1,15.8,1.1753,1.1582,0.041696,161,0,255.0,10.0,False,True,True
Asc x VS G-LON,83.0,11.2,1.149,1.1365,0.024966,256,0,96.0,14.2,False,True,True
VX x MA G-RA,178.6,26.9,1.1771,1.1426,0.033964,222,0,169.0,14.8,False,True,True
Asc x SA G-AZ,235.6,1.2,1.2109,1.1783,0.027223,213,0,252.0,16.4,True,False,True
EA x VS G-AZ,294.4,15.0,1.1454,1.1284,0.030123,188,0,307.0,16.6,False,False,True
EA x JN G-AZ,104.9,14.8,1.1355,1.1243,0.023077,283,0,93.0,17.4,False,False,True
Asc x VS G-AZ,267.5,22.0,1.1618,1.1466,0.032414,187,0,260.0,18.0,False,False,True
EA x SA G-AZ,238.0,2.2,1.2202,1.1865,0.02276,220,0,261.0,23.0,True,False,True
VX G-LON x MO G-RA,53.6,10.8,1.1188,1.0952,0.018864,449,0,80.0,26.4,False,False,True
MC x VS G-LON,150.8,41.2,1.1346,1.1187,0.023899,267,0,160.0,30.4,False,False,True
MC x MA G-LON,85.5,34.4,1.1431,1.1209,0.028841,144,0,109.0,31.6,False,False,True
Asc x JU G-AZ,38.0,-0.0,1.1729,1.1513,0.022716,398,0,70.0,32.0,True,False,True
EA x JU G-AZ,47.0,0.9,1.1629,1.144,0.021626,371,0,80.0,33.0,True,False,True
EA x VS G-LON,73.3,26.3,1.1396,1.1318,0.024635,199,0,45.0,37.2,False,False,True
Asc x JN G-AZ,68.2,26.6,1.1294,1.0987,0.023578,271,0,30.0,38.4,False,False,True
Asc x MA G-RA,53.3,58.4,1.1598,1.1311,0.032515,180,0,63.0,41.8,False,False,True
VX x VS G-LON,312.7,58.2,1.1165,1.0995,0.019732,315,0,325.0,43.4,False,False,True
VX x MA G-LON,177.6,26.0,1.1744,1.1451,0.03121,242,0,135.0,44.0,False,False,True
EA x MA G-LON,349.9,53.6,1.1626,1.1411,0.032627,185,0,341.0,45.2,False,False,True
Asc x PA G-AZ,23.7,27.2,1.2011,1.1737,0.027244,231,0,78.0,53.4,False,False,True
MC x CE G-RA,95.4,62.6,1.1418,1.1247,0.020511,323,0,59.0,53.4,False,False,True
EA x CE G-RA,5.4,62.6,1.1418,1.1247,0.020511,323,0,329.0,53.4,False,False,True
EA x MA G-AZ,317.8,65.6,1.179,1.144,0.026116,173,0,283.0,61.6,False,False,True
VX G-RA x MO G-LON,56.7,10.3,1.1413,1.1099,0.021458,423,0,354.0,62.6,False,False,True
Asc x MA G-LON,41.0,49.6,1.1639,1.139,0.028994,138,0,93.0,63.8,False,False,True
EA x NN G-AZ,50.6,71.1,1.1476,1.1219,0.021633,228,0,82.0,65.0,False,False,True
MC x CE G-LON,71.4,29.7,1.1331,1.1218,0.021118,283,0,138.0,66.2,False,False,True
Asc x NN G-AZ,232.1,67.9,1.1512,1.1146,0.026013,236,0,295.0,71.2,False,False,True
VX x CE G-LON,143.3,45.8,1.1418,1.1188,0.016824,365,0,219.0,75.2,False,False,True
VX x PA G-LON,93.3,90.7,1.1191,1.1082,0.016586,366,0,62.0,75.2,False,False,True
Asc x PA G-LON,352.9,88.9,1.1381,1.1164,0.022037,325,0,285.0,82.8,False,False,True
EA x VS G-RA,54.8,84.1,1.1301,1.1129,0.026848,203,0,323.0,85.0,False,False,True
MC x VS G-RA,144.8,84.1,1.1301,1.1129,0.026848,203,0,53.0,85.0,False,False,True
MC x PA G-LON,56.0,58.0,1.1836,1.1524,0.017401,325,0,156.0,95.2,False,False,True
EA G-LON x MO G-RA,160.4,105.0,1.1479,1.1078,0.021751,348,0,28.0,100.2,False,False,True
MC G-LON x MO G-RA,287.5,102.4,1.1521,1.1278,0.018053,348,0,117.0,102.0,False,False,True
Asc x PA G-RA,342.3,30.9,1.1676,1.1574,0.023483,347,0,87.0,104.4,False,False,True
EA x MO G-RA,213.9,88.2,1.1464,1.1286,0.017938,353,0,79.0,104.6,False,False,True
Asc x JN G-LON,235.3,53.2,1.1104,1.0976,0.022296,379,0,124.0,109.0,False,False,True
VX x PA G-RA,66.8,81.8,1.131,1.1212,0.016733,425,0,219.0,112.8,False,False,True
Asc x JN G-RA,298.1,79.6,1.1415,1.1189,0.022045,304,0,122.0,114.6,False,False,True
VX x MO G-LON,54.0,10.7,1.1415,1.1174,0.023029,430,0,176.0,122.0,False,False,True
EA x CE G-AZ,265.0,58.4,1.1738,1.1234,0.024568,168,0,117.0,124.8,False,False,True
EA x MO G-AZ,71.5,20.9,1.175,1.1411,0.024265,239,0,290.0,140.6,False,False,True
Asc x MO G-AZ,294.8,0.4,1.179,1.121,0.032346,247,0,77.0,142.2,True,False,True
EA x MO G-LON,230.5,37.8,1.1478,1.1121,0.026813,360,0,29.0,144.4,False,False,True
EA x PA G-AZ,270.8,0.4,1.1761,1.1622,0.022172,287,0,92.0,178.8,True,False,True
