feature_id,track,origin,target_body,origin_frame,target_frame,frozen_resolution,modality,n_prominent_lobes,modality_5deg,modality_6deg,peak_deg_mean,peak_circ_sd,peak_lift_mean,peak_lift_min,support_min,local_grad_mean,hs16_prior,prior_shift,drop_candidate,engine_v1_candidate
Asc x JN G-AZ,geo,Asc,JN,G-AZ,G-AZ,6.0,multimodal,3,multimodal,multimodal,68.2,26.6,1.1294,1.0987,271,0.023578,30.0,38.0,False,True
Asc x MA G-AZ,geo,Asc,MA,G-AZ,G-AZ,6.0,multimodal,3,multimodal,multimodal,259.1,15.8,1.1753,1.1582,161,0.041696,255.0,4.0,False,True
Asc x MO G-AZ,geo,Asc,MO,G-AZ,G-AZ,6.0,unimodal_stable,3,multimodal,unimodal_stable,294.8,0.4,1.179,1.121,247,0.032346,77.0,142.0,False,True
Asc x PA G-AZ,geo,Asc,PA,G-AZ,G-AZ,5.0,multimodal,3,multimodal,unimodal_stable,23.7,27.2,1.2011,1.1737,231,0.027244,78.0,54.0,False,True
Asc x VS G-AZ,geo,Asc,VS,G-AZ,G-AZ,6.0,multimodal,3,unimodal_stable,multimodal,267.5,22.0,1.1618,1.1466,187,0.032414,260.0,8.0,False,True
EA x CE G-AZ,geo,EA,CE,G-AZ,G-AZ,6.0,multimodal,3,multimodal,multimodal,265.0,58.4,1.1738,1.1234,168,0.024568,117.0,148.0,False,True
EA x JN G-AZ,geo,EA,JN,G-AZ,G-AZ,6.0,multimodal,3,multimodal,multimodal,104.9,14.8,1.1355,1.1243,283,0.023077,93.0,12.0,False,True
EA x MA G-AZ,geo,EA,MA,G-AZ,G-AZ,6.0,multimodal,3,multimodal,multimodal,317.8,65.6,1.179,1.144,173,0.026116,283.0,35.0,False,True
EA x MO G-AZ,geo,EA,MO,G-AZ,G-AZ,6.0,multimodal,3,multimodal,multimodal,71.5,20.9,1.175,1.1411,239,0.024265,290.0,142.0,False,True
EA x PA G-AZ,geo,EA,PA,G-AZ,G-AZ,6.0,unimodal_stable,3,unimodal_stable,unimodal_stable,270.8,0.4,1.1761,1.1622,287,0.022172,92.0,179.0,False,True
EA x VS G-AZ,geo,EA,VS,G-AZ,G-AZ,6.0,multimodal,3,multimodal,multimodal,294.4,15.0,1.1454,1.1284,188,0.030123,307.0,13.0,False,True
Asc x CE G-LON,geo,Asc,CE,G-LON,G-LON,5.0,multimodal,3,multimodal,multimodal,46.9,15.8,1.169,1.1488,301,0.027065,54.0,7.0,False,True
Asc x JN G-LON,geo,Asc,JN,G-LON,G-LON,5.0,bimodal,2,bimodal,scatter_or_flat,235.3,53.2,1.1104,1.0976,379,0.022296,124.0,111.0,False,True
Asc x MA G-LON,geo,Asc,MA,G-LON,G-LON,5.0,multimodal,3,multimodal,unimodal_stable,41.0,49.6,1.1639,1.139,138,0.028994,93.0,52.0,False,True
Asc x PA G-LON,geo,Asc,PA,G-LON,G-LON,5.0,multimodal,3,multimodal,bimodal,352.9,88.9,1.1381,1.1164,325,0.022037,285.0,68.0,False,True
Asc x VS G-LON,geo,Asc,VS,G-LON,G-LON,5.0,multimodal,3,multimodal,multimodal,83.0,11.2,1.149,1.1365,256,0.024966,96.0,13.0,False,True
EA x MA G-LON,geo,EA,MA,G-LON,G-LON,5.0,multimodal,3,multimodal,multimodal,349.9,53.6,1.1626,1.1411,185,0.032627,341.0,9.0,False,True
EA x MO G-LON,geo,EA,MO,G-LON,G-LON,5.0,multimodal,3,multimodal,multimodal,230.5,37.8,1.1478,1.1121,360,0.026814,29.0,159.0,False,True
EA x VS G-LON,geo,EA,VS,G-LON,G-LON,5.0,bimodal,2,bimodal,multimodal,73.3,26.3,1.1396,1.1318,199,0.024635,45.0,28.0,False,True
MC x CE G-LON,geo,MC,CE,G-LON,G-LON,5.0,multimodal,3,multimodal,multimodal,71.4,29.7,1.1331,1.1218,283,0.021118,138.0,67.0,False,True
MC x MA G-LON,geo,MC,MA,G-LON,G-LON,5.0,multimodal,3,multimodal,multimodal,85.5,34.4,1.1432,1.1209,144,0.028841,109.0,23.0,False,True
MC x PA G-LON,geo,MC,PA,G-LON,G-LON,5.0,multimodal,3,multimodal,multimodal,56.0,58.0,1.1836,1.1524,325,0.017401,156.0,100.0,False,True
MC x VS G-LON,geo,MC,VS,G-LON,G-LON,5.0,multimodal,3,multimodal,bimodal,150.8,41.2,1.1346,1.1187,267,0.023899,160.0,9.0,False,True
VX x CE G-LON,geo,VX,CE,G-LON,G-LON,6.0,multimodal,3,multimodal,multimodal,143.3,45.8,1.1418,1.1188,365,0.016824,219.0,76.0,False,True
VX x MA G-LON,geo,VX,MA,G-LON,G-LON,6.0,multimodal,3,multimodal,multimodal,177.6,26.0,1.1744,1.1451,242,0.03121,135.0,43.0,False,True
VX x MO G-LON,geo,VX,MO,G-LON,G-LON,6.0,multimodal,3,unimodal_stable,multimodal,54.0,10.7,1.1415,1.1174,430,0.023029,176.0,122.0,False,True
VX x PA G-LON,geo,VX,PA,G-LON,G-LON,6.0,scatter_or_flat,1,multimodal,scatter_or_flat,93.3,90.7,1.1191,1.1082,366,0.016586,62.0,31.0,False,True
VX x VS G-LON,geo,VX,VS,G-LON,G-LON,6.0,multimodal,3,multimodal,multimodal,312.7,58.2,1.1165,1.0995,315,0.019732,325.0,12.0,False,True
EA G-LON x MO G-RA,geo,EA,MO,G-LON,G-RA,5.0,multimodal,3,multimodal,multimodal,160.4,105.0,1.1479,1.1078,348,0.021751,28.0,132.0,False,True
