origin,body,frame,dt_bin,n_pairs,dt_median_min,sep_median,sep_p90
Asc G-AZ,MO,G-AZ_x_G-LON,<=15,54228,3.0,2.0,7.0
Asc G-AZ,MO,G-AZ_x_G-LON,15-30,10357,25.0,3.0,7.0
Asc G-AZ,MO,G-AZ_x_G-LON,30-45,15407,32.0,3.0,7.0
Asc G-AZ,MO,G-AZ_x_G-LON,45-90,53296,60.0,2.0,7.0
Asc G-AZ,MO,G-AZ_x_G-LON,90-180,70030,125.0,3.0,11.0
Asc G-AZ,MO,G-AZ_x_G-LON,180-360,65469,211.0,10.0,31.0
Asc G-AZ,MO,G-AZ_x_G-LON,>360,28565,418.0,25.0,35.0
Asc G-AZ,MO,G-AZ_x_G-RA,<=15,54228,3.0,2.0,7.0
Asc G-AZ,MO,G-AZ_x_G-RA,15-30,10357,25.0,3.0,7.0
Asc G-AZ,MO,G-AZ_x_G-RA,30-45,15407,32.0,3.0,7.0
Asc G-AZ,MO,G-AZ_x_G-RA,45-90,53296,60.0,2.0,7.0
Asc G-AZ,MO,G-AZ_x_G-RA,90-180,70030,125.0,3.0,11.0
Asc G-AZ,MO,G-AZ_x_G-RA,180-360,65469,211.0,10.0,31.0
Asc G-AZ,MO,G-AZ_x_G-RA,>360,28565,418.0,25.0,35.0
Asc G-LON,MO,G-LON_x_G-AZ,<=15,54228,3.0,3.0,13.0
Asc G-LON,MO,G-LON_x_G-AZ,15-30,10357,25.0,4.0,15.0
Asc G-LON,MO,G-LON_x_G-AZ,30-45,15407,32.0,3.0,14.0
Asc G-LON,MO,G-LON_x_G-AZ,45-90,53296,60.0,3.0,13.0
Asc G-LON,MO,G-LON_x_G-AZ,90-180,70030,125.0,5.0,17.0
Asc G-LON,MO,G-LON_x_G-AZ,180-360,65469,211.0,10.0,52.0
Asc G-LON,MO,G-LON_x_G-AZ,>360,28565,418.0,23.0,73.0
Asc G-LON,MO,G-LON_x_G-RA,<=15,54228,3.0,5.0,15.0
Asc G-LON,MO,G-LON_x_G-RA,15-30,10357,25.0,6.0,18.0
Asc G-LON,MO,G-LON_x_G-RA,30-45,15407,32.0,6.0,17.0
Asc G-LON,MO,G-LON_x_G-RA,45-90,53296,60.0,5.0,16.0
Asc G-LON,MO,G-LON_x_G-RA,90-180,70030,125.0,6.0,31.0
Asc G-LON,MO,G-LON_x_G-RA,180-360,65469,211.0,43.0,82.0
Asc G-LON,MO,G-LON_x_G-RA,>360,28565,418.0,75.0,101.0
Asc G-RA,MO,G-RA_x_G-AZ,<=15,54228,3.0,3.0,13.0
Asc G-RA,MO,G-RA_x_G-AZ,15-30,10357,25.0,4.0,14.0
Asc G-RA,MO,G-RA_x_G-AZ,30-45,15407,32.0,3.0,14.0
Asc G-RA,MO,G-RA_x_G-AZ,45-90,53296,60.0,3.0,13.0
Asc G-RA,MO,G-RA_x_G-AZ,90-180,70030,125.0,5.0,17.0
Asc G-RA,MO,G-RA_x_G-AZ,180-360,65469,211.0,10.0,53.0
Asc G-RA,MO,G-RA_x_G-AZ,>360,28565,418.0,24.0,76.0
Asc G-RA,MO,G-RA_x_G-LON,<=15,54228,3.0,5.0,15.0
Asc G-RA,MO,G-RA_x_G-LON,15-30,10357,25.0,6.0,17.0
Asc G-RA,MO,G-RA_x_G-LON,30-45,15407,32.0,6.0,17.0
Asc G-RA,MO,G-RA_x_G-LON,45-90,53296,60.0,5.0,15.0
Asc G-RA,MO,G-RA_x_G-LON,90-180,70030,125.0,6.0,31.0
Asc G-RA,MO,G-RA_x_G-LON,180-360,65469,211.0,43.0,85.0
Asc G-RA,MO,G-RA_x_G-LON,>360,28565,418.0,74.0,104.0
Asc,CE,G-AZ,<=15,54228,3.0,6.0,21.0
Asc,CE,G-AZ,15-30,10357,25.0,7.0,25.0
