origin,body,frame,file,n_events,n_pairs,n_near45,near45_sep_median,near45_sep_p90,velocity_robust_deg_per_hr,samedate_sep_median,samedate_sep_p90,daily_drift_med_deg_per_day,operational_scale_flag
EA,SU,G-AZ,EA_x_SU_G-AZ,46152,297352,80481,4.0,23.0,4.0,7.0,93.0,,marginal
ME,PA,G-AZ,ME_x_PA_G-AZ,46152,297352,80481,4.0,18.0,4.0,6.0,36.0,,marginal
MO,PA,G-AZ,MO_x_PA_G-AZ,46152,297352,80481,4.0,17.0,4.0,6.0,36.0,,marginal
VX,PFdn,G-LON,VX_x_PFdn_G-LON,46152,297352,80481,4.0,24.0,3.0,6.0,69.0,15.13308856213888,marginal
VX,PFdn,G-RA,VX_x_PFdn_G-RA,46152,297352,80481,4.0,25.0,4.0,7.0,66.0,15.473269672239482,marginal
VX,PFff,G-LON,VX_x_PFff_G-LON,46152,297352,80481,4.0,16.0,3.0,6.0,51.0,14.765662404500063,marginal
VX,PFff,G-RA,VX_x_PFff_G-RA,46152,297352,80481,4.0,17.0,3.0,6.0,51.0,15.06386703183739,marginal
Asc G-LON,MO,G-LON_x_G-AZ,Asc_G-LON_x_MO_G-AZ,46152,297352,80481,3.0,13.0,3.0,5.0,31.0,13.228924953832916,marginal
Asc G-RA,MO,G-RA_x_G-AZ,Asc_G-RA_x_MO_G-AZ,46152,297352,80481,3.0,13.0,3.0,5.0,32.0,13.16459916562593,marginal
EA G-LON,MO,G-LON_x_G-AZ,EA_G-LON_x_MO_G-AZ,46152,297352,80481,3.0,12.0,3.0,4.0,28.0,13.499698712770927,marginal
EA G-RA,MO,G-RA_x_G-AZ,EA_G-RA_x_MO_G-AZ,46152,297352,80481,3.0,12.0,3.0,4.0,28.0,13.44293865199728,marginal
EA,PFdn,G-LON,EA_x_PFdn_G-LON,46152,297352,80481,3.0,9.0,3.0,4.0,19.0,12.800040480971902,marginal
EA,PFdn,G-RA,EA_x_PFdn_G-RA,46152,297352,80481,3.0,9.0,3.0,4.0,18.0,12.980995009502365,marginal
MC G-LON,MO,G-LON_x_G-AZ,MC_G-LON_x_MO_G-AZ,46152,297352,80481,3.0,12.0,3.0,4.0,28.0,13.488149952376375,marginal
MC G-RA,MO,G-RA_x_G-AZ,MC_G-RA_x_MO_G-AZ,46152,297352,80481,3.0,12.0,3.0,4.0,28.0,13.442938651997338,marginal
MC,PFdn,G-LON,MC_x_PFdn_G-LON,46152,297352,80481,3.0,9.0,3.0,4.0,17.0,12.974264225889385,marginal
MC,PFdn,G-RA,MC_x_PFdn_G-RA,46152,297352,80481,3.0,9.0,3.0,4.0,18.0,12.980995009502351,marginal
ME,CE,G-AZ,ME_x_CE_G-AZ,46152,297352,80481,3.0,20.0,3.0,6.0,43.0,,marginal
ME,JN,G-AZ,ME_x_JN_G-AZ,46152,297352,80481,3.0,15.0,3.0,5.0,32.0,,marginal
ME,JU,G-AZ,ME_x_JU_G-AZ,46152,297352,80481,3.0,16.0,3.0,5.0,37.0,,marginal
ME,MA,G-AZ,ME_x_MA_G-AZ,46152,297352,80481,3.0,17.0,3.0,5.0,36.0,,marginal
ME,NE,G-AZ,ME_x_NE_G-AZ,46152,297352,80481,3.0,17.0,3.0,5.0,32.0,,marginal
ME,NN,G-AZ,ME_x_NN_G-AZ,46152,297352,80481,3.0,16.0,3.0,4.0,35.0,,marginal
ME,PL,G-AZ,ME_x_PL_G-AZ,46152,297352,80481,3.0,18.0,3.0,6.0,42.0,,marginal
ME,SA,G-AZ,ME_x_SA_G-AZ,46152,297352,80481,3.0,17.0,3.0,5.0,38.0,,marginal
ME,UR,G-AZ,ME_x_UR_G-AZ,46152,297352,80481,3.0,15.0,3.0,4.0,30.0,,marginal
ME,VS,G-AZ,ME_x_VS_G-AZ,46152,297352,80481,3.0,17.0,3.0,5.0,37.0,,marginal
MO,CE,G-AZ,MO_x_CE_G-AZ,46152,297352,80481,3.0,20.0,3.0,5.0,43.0,,marginal
MO,JN,G-AZ,MO_x_JN_G-AZ,46152,297352,80481,3.0,15.0,3.0,5.0,34.0,,marginal
MO,JU,G-AZ,MO_x_JU_G-AZ,46152,297352,80481,3.0,16.0,3.0,5.0,37.0,,marginal
MO,MA,G-AZ,MO_x_MA_G-AZ,46152,297352,80481,3.0,17.0,3.0,5.0,39.0,,marginal
MO,ME,G-AZ,MO_x_ME_G-AZ,46152,297352,80481,3.0,17.0,3.0,5.0,37.0,,marginal
MO,NE,G-AZ,MO_x_NE_G-AZ,46152,297352,80481,3.0,16.0,3.0,5.0,37.0,,marginal
MO,NN,G-AZ,MO_x_NN_G-AZ,46152,297352,80481,3.0,17.0,3.0,5.0,36.0,,marginal
MO,PL,G-AZ,MO_x_PL_G-AZ,46152,297352,80481,3.0,18.0,3.0,5.0,39.0,,marginal
MO,SA,G-AZ,MO_x_SA_G-AZ,46152,297352,80481,3.0,17.0,3.0,5.0,38.0,,marginal
MO,SU,G-AZ,MO_x_SU_G-AZ,46152,297352,80481,3.0,18.0,3.0,5.0,37.0,,marginal
MO,UR,G-AZ,MO_x_UR_G-AZ,46152,297352,80481,3.0,15.0,3.0,5.0,34.0,,marginal
MO,VE,G-AZ,MO_x_VE_G-AZ,46152,297352,80481,3.0,16.0,3.0,5.0,39.0,,marginal
MO,VS,G-AZ,MO_x_VS_G-AZ,46152,297352,80481,3.0,17.0,3.0,5.0,39.0,,marginal
VX G-LON,MO,G-LON_x_G-AZ,VX_G-LON_x_MO_G-AZ,46152,297352,80481,3.0,19.0,3.0,5.0,39.0,14.08544061315169,marginal
VX G-RA,MO,G-RA_x_G-AZ,VX_G-RA_x_MO_G-AZ,46152,297352,80481,3.0,20.0,3.0,6.0,38.0,14.165914948100841,marginal
Asc G-AZ,MO,G-AZ_x_G-LON,Asc_G-AZ_x_MO_G-LON,46152,297352,80481,2.0,7.0,2.0,4.0,26.0,13.86018332121963,marginal
Asc G-AZ,MO,G-AZ_x_G-RA,Asc_G-AZ_x_MO_G-RA,46152,297352,80481,2.0,7.0,2.0,4.0,26.0,13.780763887052444,marginal
EA G-AZ,MO,G-AZ_x_G-LON,EA_G-AZ_x_MO_G-LON,46152,297352,80481,2.0,4.0,1.0,2.0,17.0,13.428893435292366,marginal
EA G-AZ,MO,G-AZ_x_G-RA,EA_G-AZ_x_MO_G-RA,46152,297352,80481,2.0,4.0,1.0,2.0,17.0,13.333333333333334,marginal
EA,PFff,G-LON,EA_x_PFff_G-LON,46152,297352,80481,2.0,7.0,2.0,4.0,15.0,12.465614601631074,marginal
EA,PFff,G-RA,EA_x_PFff_G-RA,46152,297352,80481,2.0,8.0,3.0,4.0,14.0,12.591406471986039,marginal
MC,PFff,G-LON,MC_x_PFff_G-LON,46152,297352,80481,2.0,8.0,3.0,4.0,13.0,12.60709071398309,marginal
MC,PFff,G-RA,MC_x_PFff_G-RA,46152,297352,80481,2.0,8.0,3.0,4.0,14.0,12.591406471986042,marginal
ME,VE,G-AZ,ME_x_VE_G-AZ,46152,297352,80481,2.0,13.0,2.0,3.0,34.0,,marginal
ME,SU,G-AZ,ME_x_SU_G-AZ,46152,297352,80481,1.0,8.0,1.0,2.0,23.0,,marginal
Asc,NE,G-AZ,Asc_x_NE_G-AZ,46152,297352,80481,7.0,20.0,6.0,10.0,88.0,,same-slate-discriminator
Asc,CE,G-AZ,Asc_x_CE_G-AZ,46152,297352,80481,6.0,22.0,6.0,10.0,88.0,,same-slate-discriminator
Asc,JN,G-AZ,Asc_x_JN_G-AZ,46152,297352,80481,6.0,18.0,5.0,9.0,79.0,,same-slate-discriminator
Asc,JU,G-AZ,Asc_x_JU_G-AZ,46152,297352,80481,6.0,19.0,5.0,9.0,81.0,,same-slate-discriminator
Asc,MA,G-AZ,Asc_x_MA_G-AZ,46152,297352,80481,6.0,21.0,6.0,10.0,90.0,,same-slate-discriminator
Asc,MO,G-AZ,Asc_x_MO_G-AZ,46152,297352,80481,6.0,20.0,5.0,9.0,79.0,,same-slate-discriminator
