feature_id,origin,body,frame,operational_class_provisional,resolution_mode,recommended_resolution_deg,near45_sep_median,near45_sep_p90,velocity_robust_deg_per_hr,daily_drift_deg_per_day,n_pairs,n_near45,dt_bin_profile_ref,exploratory_only,audit_version,master_sha256,timestamp_utc
Asc_G-AZ_x_MO_G-LON,Asc G-AZ,MO,G-AZ_x_G-LON,marginal,same-slate,2,2.0,7.0,2.0,13.86018332121963,297352,80481,Asc_G-AZ_x_MO_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_G-AZ_x_MO_G-RA,Asc G-AZ,MO,G-AZ_x_G-RA,marginal,same-slate,2,2.0,7.0,2.0,13.780763887052444,297352,80481,Asc_G-AZ_x_MO_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_G-LON_x_MO_G-AZ,Asc G-LON,MO,G-LON_x_G-AZ,marginal,same-slate,3,3.0,13.0,3.0,13.228924953832916,297352,80481,Asc_G-LON_x_MO_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_G-RA_x_MO_G-AZ,Asc G-RA,MO,G-RA_x_G-AZ,marginal,same-slate,3,3.0,13.0,3.0,13.16459916562593,297352,80481,Asc_G-RA_x_MO_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_PFdn_G-LON,EA,PFdn,G-LON,marginal,same-slate,3,3.0,9.0,3.0,12.800040480971902,297352,80481,EA_x_PFdn_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_PFdn_G-RA,EA,PFdn,G-RA,marginal,same-slate,3,3.0,9.0,3.0,12.980995009502363,297352,80481,EA_x_PFdn_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_PFff_G-LON,EA,PFff,G-LON,marginal,same-slate,2,2.0,7.0,2.0,12.465614601631074,297352,80481,EA_x_PFff_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_PFff_G-RA,EA,PFff,G-RA,marginal,same-slate,2,2.0,8.0,3.0,12.59140647198604,297352,80481,EA_x_PFff_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_SU_G-AZ,EA,SU,G-AZ,marginal,same-slate,4,4.0,23.0,4.0,,297352,80481,EA_x_SU_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_G-AZ_x_MO_G-LON,EA G-AZ,MO,G-AZ_x_G-LON,marginal,same-slate,2,2.0,4.0,1.0,13.428893435292366,297352,80481,EA_G-AZ_x_MO_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
