origin,body,frame,n_drift,drift_med_deg_per_day,drift_p90_deg_per_day
Asc G-AZ,MO,G-AZ_x_G-LON,3807,13.86018332121963,26.137943547842823
Asc G-AZ,MO,G-AZ_x_G-RA,3807,13.780763887052444,26.060112738351787
Asc G-LON,MO,G-LON_x_G-AZ,3807,13.228924953832916,36.00367170996701
Asc G-LON,MO,G-LON_x_G-RA,3807,25.586533549615822,55.11052331612962
Asc G-RA,MO,G-RA_x_G-AZ,3807,13.16459916562593,37.006049980233534
Asc G-RA,MO,G-RA_x_G-LON,3807,25.70023300847359,55.756012393386115
Asc,CE,G-LON,3807,22.11632590720677,59.49961306859864
Asc,CE,G-RA,3807,21.710131204920486,58.83182095599169
Asc,JN,G-LON,3807,22.06409208178608,59.426558999309954
Asc,JN,G-RA,3807,21.73553564608062,58.8056861139499
Asc,JU,G-LON,3807,22.05504430142193,59.61015433848811
Asc,JU,G-RA,3807,21.678367275706535,58.92776431617875
Asc,MA,G-LON,3807,22.198866936840858,59.44648522033761
Asc,MA,G-RA,3807,21.81740985900501,58.677299555474335
Asc,ME,G-LON,3807,22.12440785424289,58.99754624998483
Asc,ME,G-RA,3807,21.82140957584167,58.42887753228231
Asc,MO,G-LON,3807,25.78612153008561,55.11868150955971
Asc,MO,G-RA,3807,25.47336685353997,55.891782513940385
Asc,NE,G-LON,3807,22.038598811900037,59.482151787628844
Asc,NE,G-RA,3807,21.6689980882814,58.99434416768276
Asc,NN,G-LON,3807,22.02720716306979,59.50330977427395
Asc,NN,G-RA,3807,21.680013730436215,59.00613169897252
Asc,PA,G-LON,3807,22.0,59.4860639480193
Asc,PA,G-RA,3807,21.615997950402527,58.714446625353744
Asc,PFdn,G-LON,3807,12.193744628790398,19.249171297545328
Asc,PFdn,G-RA,3807,12.236758364622226,21.276654289984954
Asc,PFff,G-LON,3807,12.0,14.400101552585943
Asc,PFff,G-RA,3807,12.000000000000004,15.247301766720033
Asc,PL,G-LON,3807,22.007851481245353,59.487025957496996
Asc,PL,G-RA,3807,21.695536468578748,58.96361078303269
Asc,SA,G-LON,3807,22.0,59.55556336494238
Asc,SA,G-RA,3807,21.66048062124311,58.97784752118405
Asc,SU,G-LON,3807,22.322098695790913,59.03617129289374
Asc,SU,G-RA,3807,21.827321710545675,58.31193448915651
Asc,UR,G-LON,3807,22.02720716306979,59.55645362800198
Asc,UR,G-RA,3807,21.72554430228223,58.99925341743059
Asc,VE,G-LON,3807,22.198489811813715,59.09552192720661
Asc,VE,G-RA,3807,21.87694205015157,58.38269981737072
Asc,VS,G-LON,3807,22.034129017080375,59.506116183975145
Asc,VS,G-RA,3807,21.709426546837022,58.767825562515036
EA G-AZ,MO,G-AZ_x_G-LON,3807,13.428893435292366,22.216805209573224
EA G-AZ,MO,G-AZ_x_G-RA,3807,13.333333333333334,22.238560808398653
EA G-LON,MO,G-LON_x_G-AZ,3807,13.499698712770927,31.561653639314724
EA G-LON,MO,G-LON_x_G-RA,3807,27.244101278070822,63.23587851590707
EA G-RA,MO,G-RA_x_G-AZ,3807,13.44293865199728,31.175212653316354
EA G-RA,MO,G-RA_x_G-LON,3807,27.34033566562253,63.29143342212097
EA,CE,G-LON,3807,23.713348880179936,64.10960034824616
