modeling_universe_id,modeling_universe_name,modeling_role,modeling_universe_rule,feature_id,source_file,system_pair,origin,origin_frame,target_body,target_frame,same_or_cross,origin_category,coverage_tier_normalized,coverage_validity_class,characterization_status,engine_candidate_strength,candidate_strength_rank,representation_development_reason,primary_modeling_track,analysis_layers_present,has_paper1_data,has_phase1p5_data,has_fsa_data,has_hlon_data,has_step2c_data,has_operating_point_data,has_priority_data,has_phase3c_data,has_HS_fields,has_LS_fields,has_BHW_fields,has_GHL_fields,margin_track_status,paper1_HS_peak_degree,paper1_LS_peak_degree,paper1_HS_peak_lift,paper1_LS_peak_lift,paper1_HS_support,paper1_LS_support,hlon_HS_peak_degree,hlon_LS_peak_degree,hlon_HS_peak_lift,hlon_LS_peak_lift,hlon_HS_support,hlon_LS_support,step2c_HS_peak_degree,step2c_LS_peak_degree,step2c_HS_peak_lift,step2c_LS_peak_lift,operating_HS_peak_degree,operating_LS_peak_degree,operating_HS_peak_lift,operating_LS_peak_lift,fsa_operational_class,fsa_resolution_mode,fsa_recommended_resolution,fsa_velocity,fsa_drift,descriptor_evidence_only,requires_oof_validation_before_candidate_selection,safe_for_direct_predictive_claim,holdout_status,target_track,margin_track_status_note,predictive_claim_status,universe_manifest_version,universe_manifest_input_sha256,universe_manifest_seed,universe_manifest_run_timestamp_utc
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",Asc x CE G-AZ,MLB 2000-no02-2024 G-AZ to G-AZ aspect features.csv,G-AZ x G-AZ,Asc,G-AZ,CE,G-AZ,same,angle_origin,Tier A,coverage_clean,richly_characterized,A_rich_clean,1,,HS_LS_first_pass_candidate,5,True,False,True,False,True,True,True,False,True,True,True,True,margin_BHW_GHL_available_but_paused,326.0,264.0,1.5262020492474626,1.3475213537863446,,,,,,,,,66.0,100.0,1.1484899230616092,1.1924885887054206,66.0,100.0,1.1484899230616092,1.1924885887054206,same-slate-discriminator,same-slate,6.0,6.0,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",Asc x JN G-AZ,MLB 2000-no02-2024 G-AZ to G-AZ aspect features.csv,G-AZ x G-AZ,Asc,G-AZ,JN,G-AZ,same,angle_origin,Tier A,coverage_clean,richly_characterized,A_rich_clean,1,,HS_LS_first_pass_candidate,4,True,False,True,False,True,True,False,False,True,True,True,True,margin_BHW_GHL_available_but_paused,30.0,223.0,1.5240375899380616,1.486882858488932,,,,,,,,,122.0,46.0,1.1796359225472317,1.222164300608415,122.0,46.0,1.1796359225472317,1.222164300608415,same-slate-discriminator,same-slate,6.0,5.0,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",Asc x MA G-AZ,MLB 2000-no02-2024 G-AZ to G-AZ aspect features.csv,G-AZ x G-AZ,Asc,G-AZ,MA,G-AZ,same,angle_origin,Tier A,coverage_clean,richly_characterized,A_rich_clean,1,,HS_LS_first_pass_candidate,5,True,False,True,False,True,True,True,False,True,True,True,True,margin_BHW_GHL_available_but_paused,255.0,309.0,1.5908556398789235,1.5871979817725308,,,,,,,,,324.0,317.0,1.2067297771722387,1.2576907873459269,324.0,317.0,1.2067297771722387,1.2576907873459269,same-slate-discriminator,same-slate,6.0,6.0,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",Asc x MO G-AZ,MLB 2000-no02-2024 G-AZ to G-AZ aspect features.csv,G-AZ x G-AZ,Asc,G-AZ,MO,G-AZ,same,angle_origin,Tier A,coverage_clean,richly_characterized,A_rich_clean,1,,HS_LS_first_pass_candidate,5,True,False,True,False,True,True,True,False,True,True,True,True,margin_BHW_GHL_available_but_paused,77.0,224.0,1.6716893999674716,1.440831437821248,,,,,,,,,223.0,93.0,1.1653548244650902,1.208887957560172,223.0,93.0,1.1653548244650902,1.208887957560172,same-slate-discriminator,same-slate,6.0,5.0,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",Asc x PA G-AZ,MLB 2000-no02-2024 G-AZ to G-AZ aspect features.csv,G-AZ x G-AZ,Asc,G-AZ,PA,G-AZ,same,angle_origin,Tier A,coverage_clean,richly_characterized,A_rich_clean,1,,HS_LS_first_pass_candidate,4,True,False,True,False,True,True,False,False,True,True,True,True,margin_BHW_GHL_available_but_paused,78.0,36.0,1.695358603224607,1.4925301404501168,,,,,,,,,12.0,358.0,1.1921132377863024,1.1908830016051557,10.0,358.0,1.261086974342159,1.1908830016051557,same-slate-discriminator,same-slate,5.0,5.0,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",Asc x VS G-AZ,MLB 2000-no02-2024 G-AZ to G-AZ aspect features.csv,G-AZ x G-AZ,Asc,G-AZ,VS,G-AZ,same,angle_origin,Tier A,coverage_clean,richly_characterized,A_rich_clean,1,,HS_LS_first_pass_candidate,5,True,False,True,False,True,True,True,False,True,True,True,True,margin_BHW_GHL_available_but_paused,260.0,74.0,1.6242742183490926,1.51037895038553,,,,,,,,,260.0,296.0,1.293803853393489,1.2028245438246274,260.0,296.0,1.293803853393489,1.2028245438246274,same-slate-discriminator,same-slate,6.0,5.0,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",EA x CE G-AZ,MLB 2000-no02-2024 G-AZ to G-AZ aspect features.csv,G-AZ x G-AZ,EA,G-AZ,CE,G-AZ,same,angle_origin,Tier A,coverage_clean,richly_characterized,A_rich_clean,1,,HS_LS_first_pass_candidate,5,True,False,True,False,True,True,True,False,True,True,True,True,margin_BHW_GHL_available_but_paused,117.0,266.0,1.614162671065727,1.7456962760765442,,,,,,,,,73.0,275.0,1.175103771546103,1.216569707472047,73.0,275.0,1.175103771546103,1.216569707472047,same-slate-discriminator,same-slate,6.0,6.0,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",EA x JN G-AZ,MLB 2000-no02-2024 G-AZ to G-AZ aspect features.csv,G-AZ x G-AZ,EA,G-AZ,JN,G-AZ,same,angle_origin,Tier A,coverage_clean,richly_characterized,A_rich_clean,1,,HS_LS_first_pass_candidate,4,True,False,True,False,True,True,False,False,True,True,True,True,margin_BHW_GHL_available_but_paused,93.0,82.0,1.4303290138903424,1.4630199854684136,,,,,,,,,72.0,66.0,1.195712900421412,1.290914676849499,72.0,66.0,1.195712900421412,1.290914676849499,same-slate-discriminator,same-slate,6.0,5.0,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",EA x MA G-AZ,MLB 2000-no02-2024 G-AZ to G-AZ aspect features.csv,G-AZ x G-AZ,EA,G-AZ,MA,G-AZ,same,angle_origin,Tier A,coverage_clean,richly_characterized,A_rich_clean,1,,HS_LS_first_pass_candidate,5,True,False,True,False,True,True,True,False,True,True,True,True,margin_BHW_GHL_available_but_paused,283.0,66.0,1.5545152353689522,1.469157501733597,,,,,,,,,294.0,120.0,1.2532051807525209,1.2655579993715904,294.0,120.0,1.2532051807525209,1.2655579993715904,same-slate-discriminator,same-slate,6.0,6.0,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
B,Tier A+B+C engine candidates,expanded_first_pass_increment,"engine_candidate_pool == True AND coverage_tier_normalized in {'Tier A','Tier B','Tier C'}",EA x MO G-AZ,MLB 2000-no02-2024 G-AZ to G-AZ aspect features.csv,G-AZ x G-AZ,EA,G-AZ,MO,G-AZ,same,angle_origin,Tier A,coverage_clean,richly_characterized,A_rich_clean,1,,HS_LS_first_pass_candidate,4,True,False,True,False,True,True,False,False,True,True,True,True,margin_BHW_GHL_available_but_paused,290.0,277.0,1.5722237440281048,1.429866283545432,,,,,,,,,66.0,299.0,1.261086974342159,1.1368616104090916,66.0,299.0,1.261086974342159,1.1368616104090916,same-slate-discriminator,same-slate,6.0,5.0,,True,True,False,sealed_not_used,HS_LS,BHW/GHL fields carried when available but not part of first-pass HS/LS model scope.,descriptor_inventory_only_requires_fold_clean_oof_validation,v1.7,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab,20260615,2026-06-18T17:40:56Z
