feature_id,source_file,system_pair,origin,origin_frame,target_body,target_frame,same_or_cross,origin_category,coverage_tier,coverage_tier_normalized,coverage_validity_class,analysis_scope_flag,characterization_status,descriptor_candidate_status,analysis_layers_present,outcome_pole_field_count,has_paper1_data,has_phase1p5_data,has_fsa_data,has_hlon_data,has_step2c_data,has_operating_point_data,has_priority_data,has_phase3c_data,has_HS_fields,has_LS_fields,has_BHW_fields,has_GHL_fields,paper1_HS_peak_degree,paper1_LS_peak_degree,paper1_HS_peak_lift,paper1_LS_peak_lift,paper1_HS_support,paper1_LS_support,hlon_HS_peak_degree,hlon_LS_peak_degree,hlon_BHW_peak_degree,hlon_GHL_peak_degree,hlon_HS_peak_lift,hlon_LS_peak_lift,hlon_BHW_peak_lift,hlon_GHL_peak_lift,hlon_HS_support,hlon_LS_support,hlon_BHW_support,hlon_GHL_support,fsa_operational_class,fsa_resolution_mode,fsa_recommended_resolution,fsa_velocity,fsa_drift,step2c_HS_peak_degree,step2c_LS_peak_degree,step2c_HS_peak_lift,step2c_LS_peak_lift,operating_HS_peak_degree,operating_LS_peak_degree,operating_HS_peak_lift,operating_LS_peak_lift,phase3c_origin_class,phase3c_reliable_high,phase3c_reliable_low,is_characterized,is_coverage_clean_for_engine,engine_candidate_pool,engine_candidate_strength,representation_development_pool,representation_development_reason,margin_track_status,primary_modeling_track,descriptor_evidence_only,requires_oof_validation_before_candidate_selection,safe_for_direct_predictive_claim,registry_build_seed,registry_input_sha256,registry_run_timestamp_utc
Asc G-AZ x MC G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,MC,G-LON,cross,angle_origin,,,coverage_unclassified,in_scope,unanalyzed,not_yet_characterized,0,0,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,,False,,margin_BHW_GHL_not_available,not_yet_characterized,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x VX G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,VX,G-LON,cross,angle_origin,,,coverage_unclassified,in_scope,unanalyzed,not_yet_characterized,0,0,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,,False,,margin_BHW_GHL_not_available,not_yet_characterized,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x EA G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,EA,G-LON,cross,angle_origin,,,coverage_unclassified,in_scope,unanalyzed,not_yet_characterized,0,0,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,,False,,margin_BHW_GHL_not_available,not_yet_characterized,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x MO G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,MO,G-LON,cross,angle_origin,Tier A,Tier A,coverage_clean,in_scope,richly_characterized,well_characterized_descriptor_candidate,5,4,True,True,True,False,True,True,False,False,True,True,True,True,78.0,155.0,1.3323805834788371,1.4083869707316492,,,,,,,,,,,,,,,marginal,same-slate,2.0,2.0,13.86018332121963,293.0,103.0,1.1265293071046585,1.1612532307816748,293.0,103.0,1.1265293071046585,1.1612532307816748,,,,True,True,True,A_rich_clean,False,,margin_BHW_GHL_available_but_paused,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x ME G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,ME,G-LON,cross,angle_origin,Constrained-motion,Constrained-motion,quarantine_or_special_handling,in_scope,lightly_characterized,characterized_but_requires_coverage_handling,1,2,True,False,False,False,False,False,False,False,True,True,False,False,242.0,177.0,3.750081332552541,5.276963926020875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,True,quarantine_or_special_handling,margin_BHW_GHL_not_available,representation_development_not_first_pass,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x VE G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,VE,G-LON,cross,angle_origin,Constrained-motion,Constrained-motion,quarantine_or_special_handling,in_scope,lightly_characterized,characterized_but_requires_coverage_handling,1,2,True,False,False,False,False,False,False,False,True,True,False,False,226.0,218.0,8.437682998243215,10.55392785204175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,True,quarantine_or_special_handling,margin_BHW_GHL_not_available,representation_development_not_first_pass,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x SU G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,SU,G-LON,cross,angle_origin,Constrained-motion,Constrained-motion,quarantine_or_special_handling,in_scope,lightly_characterized,characterized_but_requires_coverage_handling,1,2,True,False,False,False,False,False,False,False,True,True,False,False,273.0,263.0,1.7195677638777382,2.6384819630104377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,True,quarantine_or_special_handling,margin_BHW_GHL_not_available,representation_development_not_first_pass,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x MA G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,MA,G-LON,cross,angle_origin,Tier A,Tier A,coverage_clean,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,212.0,172.0,1.385617069070537,1.8307270927659345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x JN G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,JN,G-LON,cross,angle_origin,Tier A,Tier A,coverage_clean,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,215.0,22.0,1.6753892169036757,1.4907392685728955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
Asc G-AZ x CE G-LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,Asc,G-AZ,CE,G-LON,cross,angle_origin,Tier A,Tier A,coverage_clean,in_scope,lightly_characterized,lightly_characterized_descriptor_candidate,1,2,True,False,False,False,False,False,False,False,True,True,False,False,289.0,246.0,1.533189213942216,1.4775249881562018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,C_light_clean,False,,margin_BHW_GHL_not_available,HS_LS_first_pass_candidate,True,True,False,20260615,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e,2026-06-18T17:05:40Z
