feature_id,feature_key,source_file,source_path,system_pair,matrix_rows,matrix_aspect_feature_columns,feature_name,origin,origin_frame,target_body,target_frame,same_or_cross,origin_category,coverage_tier,h_lon_origin_in_scope,analysis_scope_flag
Asc G-AZ x MC G-LON,ASC_G_AZ_MC_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,Asc G-AZ x MC G-LON,Asc,G-AZ,MC,G-LON,cross,angle_origin,,True,in_scope
Asc G-AZ x VX G-LON,ASC_G_AZ_VX_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,Asc G-AZ x VX G-LON,Asc,G-AZ,VX,G-LON,cross,angle_origin,,True,in_scope
Asc G-AZ x EA G-LON,ASC_G_AZ_EA_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,Asc G-AZ x EA G-LON,Asc,G-AZ,EA,G-LON,cross,angle_origin,,True,in_scope
Asc G-AZ x MO G-LON,ASC_G_AZ_MO_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,Asc G-AZ x MO G-LON,Asc,G-AZ,MO,G-LON,cross,angle_origin,Tier A,True,in_scope
Asc G-AZ x ME G-LON,ASC_G_AZ_ME_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,Asc G-AZ x ME G-LON,Asc,G-AZ,ME,G-LON,cross,angle_origin,Constrained-motion,True,in_scope
Asc G-AZ x VE G-LON,ASC_G_AZ_VE_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,Asc G-AZ x VE G-LON,Asc,G-AZ,VE,G-LON,cross,angle_origin,Constrained-motion,True,in_scope
Asc G-AZ x SU G-LON,ASC_G_AZ_SU_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,Asc G-AZ x SU G-LON,Asc,G-AZ,SU,G-LON,cross,angle_origin,Constrained-motion,True,in_scope
Asc G-AZ x MA G-LON,ASC_G_AZ_MA_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,Asc G-AZ x MA G-LON,Asc,G-AZ,MA,G-LON,cross,angle_origin,Tier A,True,in_scope
Asc G-AZ x JN G-LON,ASC_G_AZ_JN_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,Asc G-AZ x JN G-LON,Asc,G-AZ,JN,G-LON,cross,angle_origin,Tier A,True,in_scope
Asc G-AZ x CE G-LON,ASC_G_AZ_CE_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,Asc G-AZ x CE G-LON,Asc,G-AZ,CE,G-LON,cross,angle_origin,Tier A,True,in_scope
