artifact,role,produced_by,built_from,n_rows,sha256
MASTER_ASPECT_FEATURE_ANALYSIS_REGISTRY_v1_3.csv,"enriched analysis registry, flags+evidence, 2494",v1_3 build,,2494,939b6a33981e45ddfdae218e0b750631044f0be264f13495498d3fa5c1171321
MASTER_ASPECT_FEATURE_CHARACTERIZATION_REGISTRY_v1_5.csv,characterization registry 2494x710,build_v1_5,v1_3,2494,0c4b05f1ff7fbf212dafaa2310b666b9f962f3b9210daa3ae06c27116d85879e
MASTER_ASPECT_FEATURE_CHARACTERIZATION_REGISTRY_QA_v1_5.csv,v1.5 QA,build_v1_5,v1_3,10,09d1ef8110915f6215dc49901a397a69b14b0575b8274c24d6a13bc571034b4e
MASTER_ASPECT_FEATURE_CHARACTERIZATION_REGISTRY_SUMMARY_v1_5.txt,v1.5 summary,build_v1_5,v1_3,,af6ff1411b688d3b23d0b5e170fa04c02f6f6df10a437dfb0664fa84bca4b4cb
MASTER_ASPECT_FEATURE_DECISION_VIEW_v1_6.csv,decision view 2494x77,build_v1_6,v1_5,2494,f54f4976ee179d7fa5416c8165a90f4e28acd617ec3055f9c9fe9636fff21eab
MASTER_ASPECT_FEATURE_DECISION_VIEW_QA_v1_6.csv,v1.6 QA,build_v1_6,v1_5,16,598f315b8478f6ef2687fb0776644079c4800284d8c23a71cfd60376add78887
MASTER_ASPECT_FEATURE_DECISION_VIEW_SUMMARY_v1_6.txt,v1.6 summary,build_v1_6,v1_5,,7713160acb2a273838dfc25a789d106e03bec7862c111234c4a45276302762fd
HS_LS_UNIVERSE_A_TIER_A_ENGINE_MANIFEST_v1_7.csv,Universe A 345 Tier-A baseline,build_v1_7,v1_6,345,572716bd3ab4bad02dea6f763cdc879838f5d428dd3d1968ce3fba09051b0f42
HS_LS_UNIVERSE_B_TIER_ABC_ENGINE_MANIFEST_v1_7.csv,Universe B 423 Tier A+B+C,build_v1_7,v1_6,423,154c0925cde656afad7e9b68043268ab7691ca7c5783a42144ab6e9ddacdaaa4
HS_LS_UNIVERSE_C_REPRESENTATION_DEVELOPMENT_MANIFEST_v1_7.csv,Universe C 510 rep-dev,build_v1_7,v1_6,510,b4befe89aa9ed4931b9dfba27c4cd8772b8913af1844812f4d4660950f634846
HS_LS_MODELING_UNIVERSE_MANIFESTS_QA_v1_7.csv,v1.7 QA,build_v1_7,v1_6,15,07dd54dfa30b8e4aeb4e1a999e7f92a40f75a44221dd7ab7b0eddb261e596bef
HS_LS_MODELING_UNIVERSE_MANIFESTS_SUMMARY_v1_7.txt,v1.7 summary,build_v1_7,v1_6,,9480fe4f8a3092d8b02fb6589a8fa139bc1c05042b5ece4e395a2db4b786ad95
